id,jour,ordre histoires,ordre conditions,histoire,type,condition,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance,mot le plus proche,transcription,distance
6,2,s 3021,c 2103,0,personnage,1,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
6,2,s 3021,c 2103,3,maison,2,Sonistik,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
6,2,s 3021,c 2103,1,vehicule,3,Keimase,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
6,2,s 3021,c 2103,2,maison,0,-1,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
6,2,s 3021,c 2103,1,personnage,3,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
6,2,s 3021,c 2103,3,vehicule,2,Ligete,Melare,False,,,m_e_l_a_r_@,10,,,10
6,2,s 3021,c 2103,2,personnage,0,Mattendich,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
6,2,s 3021,c 2103,2,vehicule,0,Wecktellin,Wecktellin,True,vektorine,v_@_k_t_o_r_i_n_@,v_@_k_t_e_l_i_n,3.5714285714285716,Wecktellin,v_@_k_t_e_l_i_n,3.5714285714285716
6,2,s 3021,c 2103,3,personnage,2,Lasgelich,Lasgelich,True,,,l_a_s_g_e_l_i_C,10,,,10
3,3,s 0321,c 0312,0,vehicule,0,Mielbete,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
3,3,s 0321,c 0312,0,maison,0,Sonistik,Keimase,False,,,k_aI_m_a_s_@,10,,,10
3,3,s 0321,c 0312,1,maison,2,Keimase,Ligete,False,,,l_i_g_e_t_@,10,,,10
3,3,s 0321,c 0312,0,personnage,0,Lasgelich,Mielbete,False,,,m_i_l_b_e_t_@,10,,,10
3,3,s 0321,c 0312,3,maison,3,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
3,3,s 0321,c 0312,1,vehicule,2,Zulergen,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
3,3,s 0321,c 0312,2,maison,1,Soltete,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
3,3,s 0321,c 0312,1,personnage,2,Madikten,Tereinat,False,,,t_e_r_aI_n_a_t,10,,,10
3,3,s 0321,c 0312,3,vehicule,3,Wecktellin,Melare,False,,,m_e_l_a_r_@,10,,,10
3,3,s 0321,c 0312,2,personnage,1,Tereinat,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
3,3,s 0321,c 0312,2,vehicule,1,Mattendich,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
3,3,s 0321,c 0312,3,personnage,3,Ligete,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
5,3,s 2310,c 3102,0,vehicule,2,Mattendich,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
5,3,s 2310,c 3102,0,maison,2,Keimase,Keimase,True,,,k_aI_m_a_s_@,10,,,10
5,3,s 2310,c 3102,1,maison,0,Ligete,Ligete,True,ligote,l_i_g_o_t_@,l_i_g_e_t_@,1.142857142857143,Ligete,l_i_g_e_t_@,1.142857142857143
5,3,s 2310,c 3102,0,personnage,2,Mielbete,Mielbete,True,mielbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0,Mielbete,m_i_l_b_e_t_@,0.0
5,3,s 2310,c 3102,3,maison,1,Zulergen,Zulergen,True,,,ts_u_l_@_r_g_@,10,,,10
5,3,s 2310,c 3102,1,vehicule,0,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
5,3,s 2310,c 3102,2,maison,3,Madikten,Madikten,True,madikte,m_a_d_i_k_t_@,m_a_d_i_k_t_@,0.0,Madikten,m_a_d_i_k_t_@,0.0
5,3,s 2310,c 3102,1,personnage,0,Tereinat,Tereinat,True,tereinat,t_e_r_aI_n_a_t,t_e_r_aI_n_a_t,0.0,Tereinat,t_e_r_aI_n_a_t,0.0
