id,jour,ordre conditions,ordre histoires,condition,histoire,PM oral,nbSyll,debit moyen,variance debit,identification,dénomination,nb0,nb1,freq moy pédalage/baseline,variance pédalage/baseline,freq moy pédalage,variance pédalage,nbSyllAudio,nbPauses,SpeechRate,ArticulationRate,SpeakingDuration,originalDuration
14,2,c 2310,s 3102,3,1,2.4571428571428573,334,2.3924753398550993,2.2174475963359135,0,0.7428571428571427,1,0,-18.2658412092811,36.580769082732715,0.6044086087252175,0.054440819876580886,333,59,2.4049572452045296,4.237935247403788,0.5674832447423155,78.57599999999998
14,1,c 2310,s 3102,1,0,2.5857142857142854,231,2.117435673273818,2.42308403517046,0,1.3,0,1,,,,,227,48,2.2254901960784315,4.313621161447246,0.5159215686274513,52.624000000000024
14,1,c 2310,s 3102,2,3,2.3857142857142857,224,2.0789118331845113,1.7348156311357907,0,1.7571428571428571,0,0,-9.77062520393529,126.44201772084634,0.6840095210473232,0.07285464848017316,239,49,2.2235040190532898,4.160863509749301,0.5343852337005064,57.440000000000026
14,1,c 2310,s 3102,3,1,2.0,256,2.3603496507391015,2.1075205195634634,0,2.428571428571429,0,1,-34.10716391532419,68.13631634876513,0.48472939856659203,0.06375382866402252,265,51,2.4238987267671592,4.378139043087496,0.5536367627689156,60.528000000000006
14,2,c 2310,s 3102,1,0,2.928571428571429,299,2.464696223807669,1.8775264237791711,0,0.7571428571428569,1,0,,,,,309,55,2.4826455842653297,4.4704861111111125,0.5553413035094483,69.11999999999998
15,1,c 3201,s 2031,1,1,0.6714285714285715,316,3.262067836812435,3.1800242964726815,0,0.8142857142857143,2,0,,,,,291,44,3.041896638233818,4.868174518201287,0.6248536544572668,59.77599999999997
15,1,c 3201,s 2031,0,3,1.0,374,3.068123533230898,2.53812314897912,0,1.4714285714285713,1,0,,,,,348,61,2.8895974491829413,4.688510454839405,0.6163146007705592,74.224
15,2,c 3201,s 2031,0,3,2.857142857142857,515,3.0614069519259255,2.698231426673037,0,0.0,3,0,,,,,497,92,2.965676914263892,4.9188440221694405,0.602921519954172,101.03999999999995
15,2,c 3201,s 2031,3,2,2.8857142857142857,413,2.856735504480361,3.05788070620873,0,1.5142857142857142,1,1,-25.251046654439037,15.187209442378968,0.8622087346787337,0.06799020504473179,439,67,3.0642729506365862,5.263284097448682,0.5821979003797189,83.40800000000007
15,2,c 3201,s 2031,2,0,2.757142857142857,525,3.2178176364520836,3.1185739874371508,0,0.8285714285714285,2,0,,,1.2095193730724407,0.06275915331504305,508,82,3.108478558840806,5.03408910734105,0.6174858037987075,100.912
15,2,c 3201,s 2031,1,1,1.0,417,3.148937685127786,3.290740197158091,0,0.8142857142857143,2,0,,,,,392,64,2.9603673272112125,4.857256145915939,0.6094731754470758,80.70400000000001
15,1,c 3201,s 2031,2,0,2.757142857142857,458,3.3502690550850573,3.5254246243346876,0,2.4571428571428573,0,1,,,1.3181561345234103,0.07364694400085715,443,77,3.237546772684752,5.561972679791083,0.5820860617399437,79.64799999999997
15,1,c 3201,s 2031,3,2,1.7142857142857144,333,3.054920439562484,3.2118530730355452,0,1.7,1,1,-24.27786525085426,-8.212865353146848,0.8745481828585429,0.04932688643558394,328,65,2.9913906318400696,5.367897355328621,0.5572741864876695,61.10399999999999
1,1,c 3012,s 1302,3,1,,803,3.028391928516026,2.900516876362242,0,3.0,0,3,-29.389083470662612,-38.579301030432426,0.5230251335333626,0.02872155008331098,827,104,3.1135172579965062,4.4949560831376685,0.6926691163182934,183.98399999999984
1,2,c 3012,s 1302,3,1,,607,3.3175052325267407,2.8162800180045804,0,0.9285714285714286,2,0,-20.228664513049864,-21.367153316695408,0.5907987259794506,0.03834549159688138,600,61,3.277112645285327,4.444707834538342,0.7373066503539284,134.99200000000005
1,2,c 3012,s 1302,2,2,,573,3.278390843394058,2.7536086704600584,0,0.0,3,0,,,,,561,69,3.204395905684519,4.718409366168749,0.6791263023213313,118.8960000000001
1,1,c 3012,s 1302,2,2,,550,3.301735398137784,2.6309126355142975,0,0.6857142857142857,2,0,-14.102184019357278,48.128400048967656,0.9189826469846244,0.06901761935197005,587,57,3.517497603068073,4.625252143217348,0.7604985618408436,126.91199999999998
1,1,c 3012,s 1302,1,0,,719,3.148962614475677,2.822057431459898,0,1.9285714285714286,1,1,,,,,752,88,3.28647149677057,4.595768702140191,0.7151081156978379,162.97600000000006
