id,jour,ordre conditions,ordre histoires,condition,histoire,nbSyll,nbPauses,meanPauses,varPauses
15,1,c 3201,s 2031,3,2,-41,3.054920439562484,3.2118530730355452,14,0.042042042042042045
16,1,c 0123,s 0312,3,2,-130,2.781300559693188,2.5358504149453225,42,0.09767441860465116
16,1,c 0123,s 0312,1,3,113,3.219006172074106,1.7644614196210855,54,0.08023774145616643
16,1,c 0123,s 0312,2,1,-16,2.795256393659166,2.1183381381369553,50,0.09191176470588236
16,2,c 0123,s 0312,2,1,41,2.9699308489880796,2.033517124390102,48,0.07754442649434572
16,2,c 0123,s 0312,1,3,226,3.242374088272398,1.8146899362685884,54,0.06716417910447761
16,2,c 0123,s 0312,3,2,15,2.9473478025382627,1.6632770266380128,55,0.09274873524451939
18,1,c 0321,s 1203,1,3,168,4.762677653543046,2.4442789601550925,10,0.014970059880239521
18,2,c 0321,s 1203,3,2,41,5.043570915892957,2.359392379538804,9,0.013533834586466165
18,1,c 0321,s 1203,3,2,96,4.5949537345143145,2.8475100623271836,11,0.018456375838926176
18,1,c 0321,s 1203,2,0,167,4.2663037949479525,2.72436766062975,10,0.014992503748125937
18,2,c 0321,s 1203,2,0,47,4.8473026637883745,1.7763475692362545,8,0.011922503725782414
18,2,c 0321,s 1203,1,3,87,4.889460070233238,2.24097718181992,10,0.014064697609001406
19,1,c 3210,s 0231,3,0,28,3.8621013887455393,3.5016919350221496,4,0.013201320132013201
19,2,c 3210,s 0231,2,2,14,4.22435809949732,2.68337316284909,0,0.0
19,1,c 3210,s 0231,2,2,38,3.8914660361180653,2.28536204008194,2,0.006389776357827476
19,1,c 3210,s 0231,1,3,-17,3.527331028629066,2.4380136212659784,3,0.011627906976744186
19,2,c 3210,s 0231,1,3,102,4.4092774507819135,2.030158722939301,2,0.004514672686230248
19,2,c 3210,s 0231,3,0,30,4.149019803777249,3.03782895286247,1,0.0026954177897574125
20,1,c 1023,s 2103,1,2,-163,3.040636753718151,2.926554351093941,17,0.04696132596685083
20,2,c 1023,s 2103,1,2,-33,3.7347763284867006,3.073815992341294,8,0.019851116625310174
20,1,c 1023,s 2103,3,3,18,3.389044099698454,2.5549836822271272,17,0.03130755064456722
20,1,c 1023,s 2103,2,0,-89,3.4332526234876113,2.3415977828338286,14,0.03211009174311927
20,2,c 1023,s 2103,3,3,101,3.776618552198131,3.009857549804002,14,0.0260707635009311
20,2,c 1023,s 2103,2,0,-50,3.6872718613233664,3.2314777515723443,10,0.025906735751295335
21,1,c 1023,s 2013,1,2,-130,2.8597100606038794,2.8342325786637432,7,0.028925619834710745
21,2,c 1023,s 2013,1,2,-10,3.617137574847749,2.823143875586193,19,0.05093833780160858
21,2,c 1023,s 2013,3,3,-19,3.664208483738902,2.026270867098495,13,0.03571428571428571
21,1,c 1023,s 2013,2,1,7,3.0877299179656346,3.415503986432442,17,0.044854881266490766
21,2,c 1023,s 2013,2,1,49,3.719527622840397,3.2117308626403562,21,0.04861111111111111
21,1,c 1023,s 2013,3,3,78,3.6440285713782887,2.2051594662011693,17,0.03777777777777778
