id,jour,ordre conditions,ordre histoires,condition,histoire,nbSyll,nbPauses,meanPauses,varPauses,SpeechRate,ArticulationRate,SRAR,SpeakingDuration,FileDuration,SDFD,meanIPU,varIPU,meanDeb,varDeb
4,2,c 0132,s 0231,3,3,508,83,0.7169156626506026,0.11929265553781375,2.7164613278576315,3.9841887313339193,0.681810403832991,127.50399999999999,187.008,0.681810403832991,1.5179047619047619,1.2996253242630413,2.6988700564971753,0.19288007915988384
4,1,c 0132,s 0231,3,3,388,51,0.8693333333333326,0.22480481045751688,2.8412419449326305,4.207147814018042,0.675336848271822,92.22400000000002,136.56,0.675336848271822,1.7735384615384622,2.062723786982251,2.7857142857142856,0.19709750566893425
5,2,c 3102,s 2310,1,3,344,52,0.7864615384615382,0.16463147928994035,2.9790771788831925,4.612744046341987,0.6458362200360259,74.576,115.472,0.645836220036026,1.4070943396226416,0.8398192552509787,2.973584905660377,0.20194375222499109
5,1,c 3102,s 2310,0,1,359,54,0.7694814814814813,0.15324224965706457,2.9353087388801673,4.445710322964136,0.6602564102564104,80.75200000000001,122.304,0.6602564102564104,1.468218181818182,1.153535661487601,2.9699115044247786,0.13785574438092257
5,1,c 3102,s 2310,1,3,516,93,0.7860645161290318,0.1815960818591751,2.8267157507231135,4.7149122807017525,0.5995266894556932,109.44000000000004,182.54399999999998,0.5995266894556932,1.1642553191489364,0.8759635092802179,2.87456647398844,0.35172307795115115
5,2,c 3102,s 2310,0,1,358,44,0.8599999999999998,0.3112625454545457,3.1189015890716476,4.652734456227906,0.6703373292444941,76.944,114.784,0.670337329244494,1.709866666666667,1.7371204266666675,3.1028571428571423,0.35303945578231294
5,1,c 3102,s 2310,2,0,295,55,0.9701818181818181,0.2511905851239669,2.4959388114254772,4.5502221125370195,0.5485312034655475,64.832,118.192,0.5485312034655475,1.1577142857142857,0.7898919183673451,2.49537037037037,0.38470078875171476
5,2,c 3102,s 2310,2,0,294,36,1.0191111111111109,0.3044809876543205,2.871542428504454,4.475158304919629,0.6416627598062199,65.69600000000001,102.384,0.6416627598062198,1.775567567567568,1.7847003535427342,2.7771739130434785,0.5165441871455577
5,2,c 3102,s 2310,3,2,333,44,0.862181818181817,0.36714142148760315,2.920642716811675,4.388970898355121,0.6654504630928996,75.87200000000006,114.01600000000002,0.6654504630928997,1.6906666666666683,2.480947199999997,2.876923076923077,0.27254437869822484
5,1,c 3102,s 2310,3,2,480,76,0.9433684210526325,0.459556653739612,2.7716186252771617,4.729623206684538,0.5860125646711007,101.48799999999991,173.184,0.5860125646711007,1.318025974025973,1.1573529863383358,2.8214723926380367,0.3497843351274042
6,1,c 2103,s 3021,0,2,437,28,0.6199999999999998,0.03614399999999977,4.163490853658537,4.988584474885844,0.8346036585365856,87.60000000000001,104.96,0.8346036585365855,3.020689655172414,3.1091002140309167,4.115789473684211,0.2518559556786704
6,1,c 2103,s 3021,1,0,341,20,0.6776,0.09567423999999973,4.151246591351772,4.9714252390949385,0.8350214257888585,68.592,82.144,0.8350214257888585,3.266285714285714,5.874280489795922,4.008333333333334,0.5096527777777777
6,2,c 2103,s 3021,1,0,317,20,0.5936000000000012,0.042621440000000024,4.117310889443059,4.86793611793612,0.8458021612635075,65.11999999999998,76.992,0.8458021612635075,3.10095238095238,3.559877950113383,4.0820895522388065,0.15520160392069499
6,1,c 2103,s 3021,2,3,319,23,0.768695652173914,0.14786734215500985,3.737814023247094,4.714471506266259,0.7928383952005996,67.66399999999997,85.344,0.7928383952005996,2.9419130434782597,5.213502427221173,3.896052631578946,0.29748441828254846
