id,jour,ordre conditions,ordre histoires,condition,histoire,nbSyll,mean f,var f,nbHesit,propHesit
7,2,c 1023,s 1320,1,1,544,4.282765030866676,1.9968065225834624,33,0.06066176470588235
7,2,c 1023,s 1320,3,0,674,3.7180795311113926,2.3673378114781674,41,0.06083086053412463
7,1,c 1023,s 1320,3,0,791,4.411961385275539,1.0044215494209001,19,0.02402022756005057
7,2,c 1023,s 1320,2,2,632,4.164697475462825,2.0584136569378044,29,0.04588607594936709
7,1,c 1023,s 1320,2,2,643,4.421148861839281,1.2748956850457334,20,0.03110419906687403
7,1,c 1023,s 1320,1,1,640,3.903260083310108,2.8523172936403487,23,0.0359375
7,2,c 1023,s 1320,0,3,467,4.165886472471832,2.3402050545998208,27,0.057815845824411134
8,2,c 0231,s 0132,0,0,443,2.906885867572593,2.2655406375929212,22,0.04966139954853273
8,2,c 0231,s 0132,2,1,511,2.8020255961029084,2.5602576255145766,29,0.05675146771037182
8,1,c 0231,s 0132,0,0,322,2.5388738711092262,2.265805025894278,27,0.08385093167701864
8,1,c 0231,s 0132,1,2,515,2.8542785669450894,1.9265481019946427,44,0.0854368932038835
8,1,c 0231,s 0132,2,1,377,2.6270363151887612,2.71106801327038,35,0.09283819628647215
8,2,c 0231,s 0132,1,2,418,2.6004870682098673,2.4307610080894446,42,0.10047846889952153
8,1,c 0231,s 0132,3,3,433,2.7247927121606836,2.4595430272165935,48,0.11085450346420324
8,2,c 0231,s 0132,3,3,497,2.505752363340401,2.5034885236584095,44,0.08853118712273642
9,1,c 2031,s 3210,2,3,225,2.6654069080798672,1.7825042772613344,3,0.013333333333333334
9,1,c 2031,s 3210,0,2,239,3.519638934367613,1.8643905541251224,0,0.0
9,2,c 2031,s 3210,3,1,337,3.7152304102476634,2.6410570631206394,1,0.002967359050445104
9,2,c 2031,s 3210,1,0,353,3.8881151756907357,2.281872691650282,0,0.0
9,2,c 2031,s 3210,0,2,346,3.7662778895450333,2.154491246476905,1,0.002890173410404624
9,1,c 2031,s 3210,1,0,288,3.83753293547661,1.8627068317422748,0,0.0
9,2,c 2031,s 3210,2,3,402,3.223148142368752,3.2851501218841106,5,0.012437810945273632
9,1,c 2031,s 3210,3,1,254,3.281790490502289,2.105013743273685,1,0.003937007874015748
10,2,c 1230,s 1203,0,3,550,4.30274881595154,3.129835803930027,7,0.012727272727272728
10,1,c 1230,s 1203,3,0,447,3.9646743956596073,2.5037776148898874,18,0.040268456375838924
10,1,c 1230,s 1203,0,3,449,4.331274295721202,2.6475851762052347,6,0.013363028953229399
10,1,c 1230,s 1203,2,2,374,3.9099719818793712,2.7362088742937654,10,0.026737967914438502
10,2,c 1230,s 1203,2,2,596,4.095200429341819,4.051396290661175,15,0.025167785234899327
10,2,c 1230,s 1203,3,0,495,3.5141024917781474,3.533039448885796,12,0.024242424242424242
10,1,c 1230,s 1203,1,1,464,3.735292746966744,2.7558268910058983,10,0.021551724137931036
10,2,c 1230,s 1203,1,1,403,4.1697493000823425,2.9792169912544297,12,0.02977667493796526
11,1,c 2301,s 3120,0,2,438,2.7832827500097164,2.2589193074680214,27,0.06164383561643835
11,2,c 2301,s 3120,2,3,520,2.8844336159262287,2.380909765253902,31,0.05961538461538462
11,2,c 2301,s 3120,1,0,484,3.2261599142141995,1.9058879754048133,26,0.05371900826446281
11,2,c 2301,s 3120,3,1,481,3.0306572054958765,2.063168209843388,33,0.06860706860706861
11,1,c 2301,s 3120,2,3,364,2.77821437693668,2.3328628127061295,26,0.07142857142857142
11,2,c 2301,s 3120,0,2,382,2.583677873791825,2.084320193991558,25,0.06544502617801047
11,1,c 2301,s 3120,3,1,453,3.050968825100562,2.4517857153577953,26,0.05739514348785872
11,1,c 2301,s 3120,1,0,396,2.8797610893719163,2.184844179777292,33,0.08333333333333333
12,1,c 3012,s 2130,0,1,266,2.3195124980972164,3.965773480425139,3,0.011278195488721804
12,2,c 3012,s 2130,1,3,294,1.7696064411151036,3.192035614077065,5,0.017006802721088437
12,1,c 3012,s 2130,2,0,189,2.1333373985243207,3.676162508335314,2,0.010582010582010581
12,2,c 3012,s 2130,0,1,341,1.851213389818255,3.4057225168789502,6,0.017595307917888565
12,1,c 3012,s 2130,1,3,245,1.8549485014524818,3.377264449359142,2,0.00816326530612245
