id,jour,ordre histoires,ordre conditions,histoire,condition,type,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance,mot le plus proche,transcription,distance
3,3,c 0312,s 0321,3,3,personnage,Ligete,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
5,3,c 3102,s 2310,2,0,vehicule,Mattendich,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
5,3,c 3102,s 2310,2,0,maison,Keimase,Keimase,True,,,k_aI_m_a_s_@,10,,,10
5,3,c 3102,s 2310,0,1,maison,Ligete,Ligete,True,ligote,,l_i_g_e_t_@,10,,,10
5,3,c 3102,s 2310,2,0,personnage,Mielbete,Mielbete,True,mielbete,,m_i_l_b_e_t_@,10,,,10
5,3,c 3102,s 2310,1,3,maison,Zulergen,Zulergen,True,,,ts_u_l_@_r_g_@,10,,,10
5,3,c 3102,s 2310,0,1,vehicule,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
5,3,c 3102,s 2310,3,2,maison,Madikten,Madikten,True,madikte,,m_a_d_i_k_t_@,10,,,10
5,3,c 3102,s 2310,0,1,personnage,Tereinat,Tereinat,True,tereinat,,t_e_r_aI_n_a_t,10,,,10
5,3,c 3102,s 2310,1,3,vehicule,Melare,Melare,True,,,m_e_l_a_r_@,10,,,10
5,3,c 3102,s 2310,3,2,personnage,Soltete,Soltete,True,soltete,,z_o_l_t_e_t_@,10,,,10
5,3,c 3102,s 2310,3,2,vehicule,Wecktellin,Wecktellin,True,vektelin,,v_@_k_t_e_l_i_n,10,,,10
5,3,c 3102,s 2310,1,3,personnage,Mattendich,Lasgelich,False,lasgelich,,l_a_s_g_e_l_i_C,10,,,10
2,3,c 2130,s 3012,1,0,vehicule,Sonistik,Sonistik,True,Sunistik,,z_o_n_i_s_t_i_k,10,,,10
2,3,c 2130,s 3012,1,0,maison,Zulergen,Keimase,False,,,k_aI_m_a_s_@,10,,,10
2,3,c 2130,s 3012,3,1,maison,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
2,3,c 2130,s 3012,1,0,personnage,Mielbete,Mielbete,True,Milbete,,m_i_l_b_e_t_@,10,,,10
2,3,c 2130,s 3012,2,3,maison,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
2,3,c 2130,s 3012,3,1,vehicule,Mattendich,Mattendich,True,Machonde,,m_a_t_@_n_d_i_C,10,,,10
2,3,c 2130,s 3012,0,2,maison,Madikten,Madikten,True,Madikte,,m_a_d_i_k_t_@,10,,,10
2,3,c 2130,s 3012,3,1,personnage,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
2,3,c 2130,s 3012,2,3,vehicule,-1,Melare,False,,,m_e_l_a_r_@,10,,,10
2,3,c 2130,s 3012,0,2,personnage,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
