id,jour,ordre histoires,ordre conditions,histoire,condition,reponse donnee,reponse attendue,evaluation,transcription
2,1,3012,2130,1,3,Mattendich,Mattendich,True,
3,1,321,312,1,2,Tereinat,Tereinat,True,
3,1,321,312,1,2,Ligete,Ligete,True,
3,1,321,312,1,2,Mattendich,Mattendich,True,
1,1,1302,3012,1,3,Tereinat,Tereinat,True,
1,1,1302,3012,1,3,Ligete,Ligete,True,
1,1,1302,3012,1,3,Mattendich,Mattendich,True,
4,1,231,132,1,2,Tereinat,Tereinat,True,
4,1,231,132,1,2,Ligete,Ligete,True,
4,1,231,132,1,2,Mattendich,Mattendich,True,
5,1,2310,3102,1,0,Tereinat,Tereinat,True,
5,1,2310,3102,1,0,Ligete,Ligete,True,
5,1,2310,3102,1,0,Mattendich,Mattendich,True,
1,1,1302,3012,2,2,Soltete,Soltete,True,
1,1,1302,3012,2,2,Wecktellin,Wecktellin,True,
1,1,1302,3012,2,2,Madikten,Madikten,True,
2,1,3012,2130,2,0,Soltete,Soltete,True,
2,1,3012,2130,2,0,Wecktellin,Wecktellin,True,
2,1,3012,2130,2,0,Madikten,Madikten,True,
3,1,321,312,2,1,Soltete,Soltete,True,
3,1,321,312,2,1,Wecktellin,Wecktellin,True,
3,1,321,312,2,1,Madikten,Madikten,True,
4,1,231,132,2,1,Soltete,Soltete,True,
4,1,231,132,2,1,Wecktellin,Wecktellin,True,
4,1,231,132,2,1,Madikten,Madikten,True,
5,1,2310,3102,2,3,Soltete,Soltete,True,
5,1,2310,3102,2,3,Wecktellin,Wecktellin,True,
5,1,2310,3102,2,3,Madikten,Madikten,True,
2,1,3012,2130,3,2,Zulergen,Zulergen,True,
2,1,3012,2130,3,2,Lasgelich,Lasgelich,True,
2,1,3012,2130,3,2,Melare,Melare,True,
3,1,321,312,3,3,Melare,Zulergen,False,
3,1,321,312,3,3,Lasgelich,Lasgelich,True,
3,1,321,312,3,3,Zulergen,Melare,False,
1,1,1302,3012,3,0,Zulergen,Zulergen,True,
1,1,1302,3012,3,0,Lasgelich,Lasgelich,True,
1,1,1302,3012,3,0,Melare,Melare,True,
4,1,231,132,3,3,Zulergen,Zulergen,True,
4,1,231,132,3,3,Lasgelich,Lasgelich,True,
4,1,231,132,3,3,Melare,Melare,True,
5,1,2310,3102,3,1,Zulergen,Zulergen,True,
5,1,2310,3102,3,1,Lasgelich,Lasgelich,True,
5,1,2310,3102,3,1,Melare,Melare,True,
