id,jour,ordre conditions,ordre histoires,condition,histoire,mean f,var f,varfn,varfm,varfnm,meanv,varv,varz
11,1,c 2301,s 3120,3,1,0.5933740055546765,0.03712401912705781,0.0004267128635294001,0.06256428286297253,0.000719129688080144,0.0016043914582948285,8.907893816098827e-08,9.24443950985987e-05
11,1,c 2301,s 3120,2,-1,0.7252617527326874,0.03266423631721704,0.0003842851331437298,0.04503785866846369,0.0005298571608054551,0.001994548307494656,1.8024981273586548e-08,0.0002743130338738378
11,1,c 2301,s 3120,2,3,0.7522745412258891,0.07053328585512442,0.0007124574328800446,0.09376003305945328,0.0009470710410045787,0.0020525148399860747,6.183059459990083e-08,1.32857993333987e-07
11,1,c 2301,s 3120,3,-1,0.6629047567614434,0.029778452579315263,0.00036763521702858347,0.04492116292059057,0.0005545822582788959,0.0018532263393907945,1.1988315316077465e-08,0.0003147719838757086
11,2,c 2301,s 3120,2,3,0.6964987382357737,0.03252736367599643,0.00025612097382674356,0.04670125283843013,0.00036772640030259947,0.0018765546244134386,9.826858126644899e-08,5.361519085693344e-08
11,2,c 2301,s 3120,3,1,0.5154872191964,0.03644502421926838,0.00045556280274085476,0.0707001509680163,0.0008837518871002036,0.001404011543284088,6.185111718922086e-08,5.954176014173111e-05
12,1,c 3012,s 2130,2,0,0.9003506971557772,0.049337846523309734,0.0005543578261046038,0.05479847650384324,0.000615713219144306,0.002092337008695894,8.073359577440048e-07,7.693852991540642e-05
12,1,c 3012,s 2130,2,-1,0.9825075760237121,0.02443816722451409,0.0002088732241411461,0.024873260848956847,0.00021259197306800726,0.0026982581758745665,1.1812500086730318e-08,8.353888863780842e-08
12,1,c 3012,s 2130,3,2,0.733103904482937,0.03529308712754659,0.0002892875994061196,0.04814199857854943,0.000394606545725815,0.0020531422134843543,9.626012263714683e-08,9.094795745967738e-07
12,1,c 3012,s 2130,3,-1,1.0329799508400206,0.05123034485441545,0.000416506868735085,0.04959471363675052,0.0004032090539573213,0.0028898811654512087,3.5044620756811536e-08,0.000138283299432704
12,2,c 3012,s 2130,2,0,0.9493222369794753,0.02920101140639512,0.00018250632128996951,0.03075985189107759,0.00019224907431923495,0.002589187209392424,3.470691614724812e-08,2.425783401920444e-08
12,2,c 3012,s 2130,3,2,0.9121675611682264,0.04117332169904329,0.00030053519488352766,0.045137892917735435,0.0003294736709323754,0.002592371912646767,1.1663751783593117e-07,3.2580598105688105e-06
13,1,c 1320,s 1023,3,-1,1.0482453143324555,0.050694144994227266,0.0004055531599538181,0.04836095549495526,0.00038688764395964205,0.002893318859699182,1.834560322767257e-08,4.2280562452724547e-07
13,1,c 1320,s 1023,2,2,1.0418482895503713,0.05130160338283168,0.0004239801932465428,0.04924095369487223,0.0004069500305361342,0.0028872351283508943,1.721468203764e-08,5.145555555555694e-09
13,1,c 1320,s 1023,3,0,0.9081788142678551,0.03206261698998014,0.00030829439413442445,0.035304299644809495,0.00033946441966162976,0.0024781226050845898,2.0157055923156974e-08,1.6676185163759406e-07
13,1,c 1320,s 1023,2,-1,1.1859351362453814,0.0681622140024665,0.0004800155915666655,0.057475499223562154,0.00040475703678564896,0.0032699790913772527,3.785811483695906e-08,1.3345945758382893e-05
13,2,c 1320,s 1023,2,2,0.8550865857050067,0.03318583606867053,0.00022730024704568856,0.03880991308185391,0.0002658213224784514,0.00237495061568364,4.4035834691807765e-08,4.0591196216656894e-05
13,2,c 1320,s 1023,3,0,0.7499499056214313,0.04025735072454693,0.0003985876309361082,0.053680053057928535,0.0005314856738408766,0.002070538205991522,3.724158115080648e-08,3.549622688283524e-07
14,1,c 2310,s 3102,2,3,0.6840095210473232,0.07285464848017316,0.0009713953130689755,0.10651116137772695,0.0014201488183696927,0.001824344594435101,1.6923587767850415e-07,1.63012432113341e-07
14,1,c 2310,s 3102,3,1,0.48472939856659203,0.06375382866402252,0.0011806264567411576,0.1315245760883307,0.00243564029793205,0.0013708115662963891,1.3248372533829288e-07,2.9062264508928426e-07
14,1,c 2310,s 3102,2,-1,0.7573406788364063,0.03121058255973209,0.0003467842506636899,0.04121075683889669,0.00045789729820996315,0.002121735874324842,3.163588977248924e-08,0.00015056294672814277
14,1,c 2310,s 3102,3,-1,0.741020425794995,0.040421537652861876,0.00045417458036923456,0.05454847969878307,0.0006129042662784615,0.0020761347799248347,1.525953997719442e-08,9.782993157106621e-06
